,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,SE,Full-time,Principal Data Scientist,85847,ES,100,ES,Large
1,2023,MI,Contractual,ML Engineer,30000,US,100,US,Small
2,2023,MI,Contractual,ML Engineer,25500,US,100,US,Small
3,2023,SE,Full-time,Data Scientist,175000,CA,100,CA,Medium
4,2023,SE,Full-time,Data Scientist,120000,CA,100,CA,Medium
5,2023,SE,Full-time,Applied Scientist,222200,US,0,US,Large
6,2023,SE,Full-time,Applied Scientist,136000,US,0,US,Large
7,2023,SE,Full-time,Data Scientist,219000,CA,0,CA,Medium
8,2023,SE,Full-time,Data Scientist,141000,CA,0,CA,Medium
9,2023,SE,Full-time,Data Scientist,147100,US,0,US,Medium
10,2023,SE,Full-time,Data Scientist,90700,US,0,US,Medium
11,2023,SE,Full-time,Data Analyst,130000,US,100,US,Medium
12,2023,SE,Full-time,Data Analyst,100000,US,100,US,Medium
13,2023,EN,Full-time,Applied Scientist,213660,US,0,US,Large
14,2023,EN,Full-time,Applied Scientist,130760,US,0,US,Large
15,2023,SE,Full-time,Data Modeler,147100,US,0,US,Medium
16,2023,SE,Full-time,Data Modeler,90700,US,0,US,Medium
17,2023,SE,Full-time,Data Scientist,170000,US,0,US,Medium
18,2023,SE,Full-time,Data Scientist,150000,US,0,US,Medium
19,2023,MI,Full-time,Data Analyst,150000,US,100,US,Medium
20,2023,MI,Full-time,Data Analyst,110000,US,100,US,Medium
21,2023,SE,Full-time,Research Engineer,275000,DE,0,DE,Medium
22,2023,SE,Full-time,Research Engineer,174000,DE,0,DE,Medium
23,2023,SE,Full-time,Analytics Engineer,230000,GB,100,GB,Medium
24,2023,SE,Full-time,Analytics Engineer,143200,GB,100,GB,Medium
25,2023,SE,Full-time,Business Intelligence Engineer,225000,US,0,US,Medium
26,2023,SE,Full-time,Business Intelligence Engineer,156400,US,0,US,Medium
27,2023,SE,Full-time,Machine Learning Engineer,200000,US,0,US,Medium
28,2023,SE,Full-time,Machine Learning Engineer,130000,US,0,US,Medium
29,2023,SE,Full-time,Data Strategist,90000,CA,0,CA,Medium
30,2023,SE,Full-time,Data Strategist,72000,CA,0,CA,Medium
31,2023,SE,Full-time,Data Engineer,253200,US,0,US,Medium
32,2023,SE,Full-time,Data Engineer,90700,US,0,US,Medium
33,2023,SE,Full-time,Computer Vision Engineer,342810,US,0,US,Medium
34,2023,SE,Full-time,Computer Vision Engineer,184590,US,0,US,Medium
35,2023,MI,Full-time,Data Engineer,162500,US,0,US,Medium
36,2023,MI,Full-time,Data Engineer,130000,US,0,US,Medium
37,2023,MI,Full-time,Data Analyst,105380,US,0,US,Medium
38,2023,MI,Full-time,Data Analyst,64500,US,0,US,Medium
39,2023,EN,Full-time,Data Quality Analyst,100000,NG,100,NG,Large
40,2023,EN,Full-time,Compliance Data Analyst,30000,NG,100,NG,Large
41,2022,MI,Full-time,Machine Learning Engineer,20984,IN,50,IN,Large
42,2023,EN,Full-time,Applied Scientist,204620,US,0,US,Large
43,2023,EN,Full-time,Applied Scientist,110680,US,0,US,Large
44,2023,SE,Full-time,Data Engineer,270703,US,0,US,Medium
45,2023,SE,Full-time,Data Engineer,221484,US,0,US,Medium
46,2023,SE,Full-time,Data Scientist,212750,US,100,US,Medium
47,2023,SE,Full-time,Data Scientist,185000,US,100,US,Medium
48,2023,SE,Full-time,Data Scientist,262000,US,100,US,Medium
49,2023,SE,Full-time,Data Scientist,245000,US,100,US,Medium
50,2023,SE,Full-time,Data Scientist,275300,US,100,US,Medium
51,2023,SE,Full-time,Data Scientist,183500,US,100,US,Medium
52,2023,SE,Full-time,Data Scientist,218500,US,100,US,Medium
53,2023,SE,Full-time,Data Scientist,199098,US,100,US,Medium
54,2023,SE,Full-time,Data Engineer,203300,US,100,US,Medium
55,2023,SE,Full-time,Data Engineer,123600,US,100,US,Medium
56,2023,SE,Full-time,Research Engineer,189110,US,0,US,Medium
57,2023,SE,Full-time,Research Engineer,139000,US,0,US,Medium
58,2023,EX,Full-time,Data Scientist,258750,US,0,US,Medium
59,2023,EX,Full-time,Data Scientist,185000,US,0,US,Medium
60,2023,SE,Full-time,Data Engineer,231500,US,100,US,Medium
61,2023,SE,Full-time,Data Engineer,166000,US,100,US,Medium
62,2023,SE,Full-time,Data Scientist,172500,US,100,US,Medium
63,2023,SE,Full-time,Data Scientist,110500,US,100,US,Medium
64,2023,SE,Full-time,Data Engineer,238000,US,0,US,Medium
65,2023,SE,Full-time,Data Engineer,176000,US,0,US,Medium
66,2023,SE,Full-time,Data Engineer,237000,US,100,US,Medium
67,2023,SE,Full-time,Data Engineer,201450,US,100,US,Medium
68,2023,SE,Full-time,Applied Scientist,309400,US,0,US,Large
69,2023,SE,Full-time,Applied Scientist,159100,US,0,US,Large
70,2023,SE,Full-time,Data Engineer,115000,US,0,US,Medium
71,2023,SE,Full-time,Data Engineer,81500,US,0,US,Medium
72,2023,SE,Full-time,Data Scientist,237000,US,100,US,Medium
73,2023,SE,Full-time,Data Scientist,201450,US,100,US,Medium
74,2023,SE,Full-time,Computer Vision Engineer,280000,US,0,US,Medium
75,2023,SE,Full-time,Computer Vision Engineer,210000,US,0,US,Medium
76,2023,SE,Full-time,Data Architect,280100,US,100,US,Medium
77,2023,SE,Full-time,Data Architect,168100,US,100,US,Medium
78,2023,SE,Full-time,Data Engineer,193500,US,100,US,Medium
79,2023,SE,Full-time,Data Engineer,139000,US,100,US,Medium
80,2023,MI,Full-time,Data Scientist,65062,HK,0,HK,Large
81,2023,SE,Full-time,Machine Learning Engineer,150000,PT,100,US,Medium
82,2023,MI,Full-time,Applied Machine Learning Engineer,69751,IN,100,DE,Small
83,2022,EN,Full-time,AI Developer,300000,IN,50,IN,Large
84,2023,MI,Full-time,Machine Learning Engineer,96578,NL,100,NL,Large
85,2023,SE,Full-time,Business Intelligence Engineer,185900,US,0,US,Medium
86,2023,SE,Full-time,Business Intelligence Engineer,129300,US,0,US,Medium
87,2023,SE,Full-time,Data Engineer,225000,US,100,US,Medium
88,2023,SE,Full-time,Data Engineer,175000,US,100,US,Medium
89,2023,SE,Full-time,Data Engineer,185000,US,0,US,Medium
90,2023,SE,Full-time,Data Engineer,140000,US,0,US,Medium
91,2023,SE,Full-time,Data Scientist,48289,ES,0,ES,Medium
92,2023,SE,Full-time,Data Scientist,38631,ES,0,ES,Medium
93,2023,SE,Full-time,Data Scientist,105000,US,0,US,Medium
94,2023,SE,Full-time,Data Scientist,70000,US,0,US,Medium
95,2023,EN,Full-time,Machine Learning Engineer,163196,US,0,US,Medium
96,2023,EN,Full-time,Machine Learning Engineer,145885,US,0,US,Medium
97,2023,SE,Full-time,Data Engineer,217000,US,100,US,Medium
98,2023,SE,Full-time,Data Engineer,185000,US,100,US,Medium
99,2023,SE,Full-time,Data Analyst,202800,US,0,US,Large
100,2023,SE,Full-time,Data Analyst,104300,US,0,US,Large
101,2023,SE,Full-time,Data Analyst,145000,US,0,US,Medium
102,2023,SE,Full-time,Data Analyst,65000,US,0,US,Medium
103,2023,SE,Full-time,Data Engineer,165000,US,0,US,Medium
104,2023,SE,Full-time,Data Engineer,132300,US,0,US,Medium
105,2023,SE,Full-time,Data Engineer,179170,US,0,US,Medium
106,2023,SE,Full-time,Data Engineer,94300,US,0,US,Medium
107,2023,SE,Full-time,Analytics Engineer,152500,US,0,US,Medium
108,2023,SE,Full-time,Analytics Engineer,116450,US,0,US,Medium
109,2023,SE,Full-time,Data Engineer,247300,US,0,US,Medium
110,2023,SE,Full-time,Data Engineer,133800,US,0,US,Medium
111,2023,SE,Full-time,Research Engineer,203000,US,0,US,Medium
112,2023,SE,Full-time,Research Engineer,133000,US,0,US,Medium
113,2023,EN,Full-time,Research Scientist,220000,US,50,US,Large
114,2022,EN,Full-time,Machine Learning Engineer,56536,CH,100,CH,Small
116,2023,SE,Full-time,Data Scientist,120000,US,0,US,Medium
117,2023,SE,Full-time,Analytics Engineer,289800,US,0,US,Medium
118,2023,SE,Full-time,Analytics Engineer,214000,US,0,US,Medium
119,2023,SE,Full-time,Analytics Engineer,179820,US,0,US,Medium
120,2023,SE,Full-time,Analytics Engineer,143860,US,0,US,Medium
121,2023,SE,Full-time,Machine Learning Engineer,283200,US,100,US,Medium
122,2023,SE,Full-time,Machine Learning Engineer,188800,US,100,US,Medium
124,2023,SE,Full-time,Analytics Engineer,214200,US,0,US,Medium
125,2023,SE,Full-time,Data Engineer,185900,US,0,US,Medium
126,2023,SE,Full-time,Data Engineer,129300,US,0,US,Medium
127,2023,SE,Full-time,Data Engineer,252000,US,0,US,Medium
128,2023,SE,Full-time,Data Engineer,129000,US,0,US,Medium
129,2023,MI,Full-time,Data Analytics Manager,155000,US,0,US,Medium
130,2023,MI,Full-time,Data Analytics Manager,140000,US,0,US,Medium
131,2023,SE,Full-time,Data Engineer,161800,US,100,US,Medium
132,2023,SE,Full-time,Data Engineer,141600,US,100,US,Medium
133,2023,SE,Full-time,Machine Learning Engineer,342300,US,0,US,Large
134,2023,SE,Full-time,Machine Learning Engineer,176100,US,0,US,Large
135,2023,MI,Full-time,Data Engineer,100000,US,100,US,Medium
136,2023,MI,Full-time,Data Engineer,70000,US,100,US,Medium
137,2023,EN,Full-time,Data Engineer,85000,US,0,US,Medium
138,2023,EN,Full-time,Data Engineer,65000,US,0,US,Medium
139,2023,SE,Full-time,Data Scientist,138784,US,100,US,Medium
140,2023,SE,Full-time,Data Scientist,83270,US,100,US,Medium
141,2023,EN,Full-time,Data Analyst,75000,US,0,US,Medium
142,2023,EN,Full-time,Data Analyst,70000,US,0,US,Medium
143,2023,SE,Full-time,Data Analyst,204500,US,0,US,Medium
144,2023,SE,Full-time,Data Analyst,138900,US,0,US,Medium
145,2023,SE,Full-time,Machine Learning Engineer,318300,US,100,US,Medium
146,2023,SE,Full-time,Machine Learning Engineer,212200,US,100,US,Medium
147,2023,SE,Full-time,Data Engineer,95000,US,100,US,Medium
148,2023,SE,Full-time,Data Engineer,75000,US,100,US,Medium
149,2023,SE,Full-time,Data Scientist,195000,US,0,US,Medium
150,2023,SE,Full-time,Data Scientist,160000,US,0,US,Medium
151,2023,SE,Full-time,Analytics Engineer,230000,US,0,US,Medium
152,2023,SE,Full-time,Analytics Engineer,143200,US,0,US,Medium
155,2023,MI,Full-time,Business Data Analyst,105000,US,50,US,Large
156,2023,MI,Full-time,Applied Data Scientist,20670,IN,100,IN,Large
157,2023,MI,Full-time,Data Analyst,46178,GB,0,GB,Medium
158,2023,MI,Full-time,Data Analyst,42533,GB,0,GB,Medium
159,2023,SE,Full-time,Data Engineer,145000,US,0,US,Medium
161,2023,SE,Full-time,Data Analyst,168400,US,0,US,Medium
162,2023,SE,Full-time,Data Analyst,105200,US,0,US,Medium
